variable,type,full_name,description
lc1,landcover,bare,Bare land cover (%)
lc2,landcover,crops,Crops land cover (%)
lc3,landcover,grass,Grass land cover (%)
lc4,landcover,moss,Moss land cover (%)
lc5,landcover,shrub,Shrub land cover (%)
lc6,landcover,snow,Snow land cover (%)
lc7,landcover,tree,Tree land cover (%)
lc8,landcover,urban,Urban land cover (%)
lc9,landcover,water_permanent,Permanent water land cover (%)
lc10,landcover,water_seasonal,Seasonal water land cover (%)
wc1,climate,temperature_annual_mean,Annual Mean Temperature (°C)
wc2,climate,temperature_diurnal_range,Mean Diurnal Range (Mean of monthly (max temp - min temp)) (°C)
wc3,climate,temperature_isothermality,Isothermality (BIO2/BIO7) (* 100) (°C)
wc4,climate,temperature_seasonality,Temperature Seasonality (standard deviation *100) (°C)
wc5,climate,temperature_max_warmest_month,Max Temperature of Warmest Month (°C)
wc6,climate,temperature_min_coldest_month,Min Temperature of Coldest Month (°C)
wc7,climate,temperature_annual_range,Temperature Annual Range (BIO5-BIO6) (°C)
wc8,climate,temperature_mean_wettest_quarter,Mean Temperature of Wettest Quarter (°C)
wc9,climate,temperature_mean_driest_quarter,Mean Temperature of Driest Quarter (°C)
wc10,climate,temperature_mean_warmest_quarter,Mean Temperature of Warmest Quarter (°C)
wc11,climate,temperature_mean_coldest_quarter,Mean Temperature of Coldest Quarter (°C)
wc12,climate,precipitation_annual_mean,Annual Precipitation (mm)
wc13,climate,precipitation_wettest_month,Precipitation of Wettest Month (mm)
wc14,climate,precipitation_driest_month,Precipitation of Driest Month (mm)
wc15,climate,precipitation_seasonality,Precipitation Seasonality (Coefficient of Variation) (mm)
wc16,climate,precipitation_wettest_quarter,Precipitation of Wettest Quarter (mm)
wc17,climate,precipitation_driest_quarter,Precipitation of Driest Quarter (mm)
wc18,climate,precipitation_warmest_quarter,Precipitation of Warmest Quarter (mm)
wc19,climate,precipitation_coldest_quarter,Precipitation of Warmest Quarter (mm)
sp1,species,Setophaga_coronata,Yellow-rumped Warbler
sp2,species,Geothlypis_trichas,Common Yellowthroat
sp3,species,Setophaga_petechia,Yellow Warbler
sp4,species,Setophaga_ruticilla,American Redstart
sp5,species,Mniotilta_varia,Black-and-white Warbler
sp6,species,Oreothlypis_celata,Orange-crowned Warbler
sp7,species,Seiurus_aurocapilla,Ovenbird
sp8,species,Setophaga_palmarum,Palm Warbler
sp9,species,Setophaga_pinus,Pine Warbler
sp10,species,Setophaga_americana,Northern Parula
sp11,species,Setophaga_virens,Black-throated Green Warbler
sp12,species,Cardellina_pusilla,Wilson's Warbler
sp13,species,Setophaga_magnolia,Magnolia Warbler
sp14,species,Oreothlypis_ruficapilla,Nashville Warbler
sp15,species,Setophaga_pensylvanica,Chestnut-sided Warbler
sp16,species,Oreothlypis_peregrina,Tennessee Warbler
sp17,species,Setophaga_caerulescens,Black-throated Blue Warbler
sp18,species,Parkesia_noveboracensis,Northern Waterthrush
sp19,species,Setophaga_striata,Blackpoll Warbler
sp20,species,Setophaga_fusca,Blackburnian Warbler
sp21,species,Setophaga_dominica,Yellow-throated Warbler
sp22,species,Setophaga_discolor,Prairie Warbler
sp23,species,Setophaga_citrina,Hooded Warbler
sp24,species,Setophaga_townsendi,Townsend's Warbler
sp25,species,Vermivora_cyanoptera,Blue-winged Warbler
sp26,species,Parkesia_motacilla,Louisiana Waterthrush
sp27,species,Protonotaria_citrea,Prothonotary Warbler
sp28,species,Setophaga_tigrina,Cape May Warbler
sp29,species,Setophaga_nigrescens,Black-throated Gray Warbler
sp30,species,Cardellina_canadensis,Canada Warbler
sp31,species,Setophaga_castanea,Bay-breasted Warbler
sp32,species,Geothlypis_tolmiei,MacGillivray's Warbler
sp33,species,Helmitheros_vermivorum,Worm-eating Warbler
sp34,species,Geothlypis_philadelphia,Mourning Warbler
sp35,species,Geothlypis_formosa,Kentucky Warbler
sp36,species,Oreothlypis_luciae,Lucy's Warbler
sp37,species,Setophaga_cerulea,Cerulean Warbler
sp38,species,Vermivora_chrysoptera,Golden-winged Warbler
sp39,species,Setophaga_occidentalis,Hermit Warbler
sp40,species,Myioborus_pictus,Painted Redstart
sp41,species,Oreothlypis_virginiae,Virginia's Warbler
sp42,species,Setophaga_graciae,Grace's Warbler
sp43,species,Limnothlypis_swainsonii,Swainson's Warbler
sp44,species,Oporornis_agilis,Connecticut Warbler
sp45,species,Cardellina_rubrifrons,Red-faced Warbler
sp46,species,Setophaga_chrysoparia,Golden-cheeked Warbler
sp47,species,Setophaga_pitiayumi,Tropical Parula
sp48,species,Basileuterus_rufifrons,Rufous-capped Warbler
sp49,species,Setophaga_kirtlandii,Kirtland's Warbler
sp50,species,Myioborus_miniatus,Slate-throated Redstart
sp51,species,Geothlypis_poliocephala,Gray-crowned Yellowthroat
sp52,species,Basileuterus_culicivorus,Golden-crowned Warbler
sp53,species,Oreothlypis_superciliosa,Crescent-chested Warbler
sp54,species,Oreothlypis_crissalis,Colima Warbler
sp55,species,Basileuterus_lachrymosus,Fan-tailed Warbler
sp56,species,Geothlypis_beldingi,Belding's Yellowthroat
sp57,species,Basileuterus_belli,Golden-browed Warbler
sp58,species,Cardellina_rubra,Red Warbler
sp59,species,Geothlypis_flavovelata,Altamira Yellowthroat
sp60,species,Geothlypis_nelsoni,Hooded Yellowthroat
sp61,species,Geothlypis_speciosa,Black-polled Yellowthroat
sp62,species,Vermivora_bachmanii,Bachman's Warbler
